ID,Age,Family,ZIP Code,First Name,Last Name
639.0,42.0,3.0,92054.0,Asia,Anderson
1437.0,46.0,4.0,95054.0,Caroline,Tinker
3478.0,34.0,2.0,94024.0,Michael,Wilkes
4617.0,66.0,1.0,92521.0,Janine,Jacobs
2716.0,42.0,1.0,90089.0,Nancy,Chappell
2704.0,51.0,1.0,92521.0,Rosanne,Osborne
1083.0,30.0,1.0,94115.0,David,Hertzler
4072.0,30.0,3.0,94304.0,Danielle,Decosta
2457.0,54.0,2.0,95211.0,Carole,Basinski
4219.0,52.0,4.0,94005.0,Freddie,Nixon
69.0,47.0,3.0,93407.0,Connie,Sarni
,-39.0,-2.0,92096.0,Helen,
151.0,46.0,2.0,94107.0,David,Cline
,-37.0,-5.0,92807.0,Mary,
3977.0,60.0,4.0,90277.0,Ying,Dixon
729.0,-1.0,-4.0,,Terrance,Andrews
1207.0,63.0,4.0,95035.0,Barbara,Talbert
2551.0,32.0,1.0,93106.0,Matthew,Hornbrook
973.0,40.0,2.0,92093.0,Shirley,Cornett
4183.0,55.0,2.0,92691.0,Joyce,Seifert
3769.0,-8.0,,94309.0,Carmela,Roussel
1498.0,45.0,1.0,95020.0,Walter,Ramirez
2664.0,54.0,4.0,91311.0,Elizabeth,Alm
4288.0,54.0,4.0,95207.0,Rose,Exum
3726.0,33.0,4.0,94305.0,Ada,Ladwig
,-29.0,-2.0,93305.0,Gordon,Gardner
4235.0,50.0,1.0,93555.0,Derek,Stewart
2788.0,60.0,2.0,92807.0,Mary,Breedlove
615.0,,-1.0,90034.0,,
1399.0,42.0,1.0,93407.0,Bertha,Hooker
1541.0,34.0,4.0,91320.0,Lisa,Marquardt
1542.0,61.0,2.0,92704.0,Miriam,Hockaday
4561.0,43.0,2.0,94709.0,Ashley,Sell
2876.0,58.0,3.0,94402.0,Howard,Rahaman
3527.0,58.0,2.0,95008.0,Denise,Mcallister
,,-2.0,90717.0,Amos,Fix
3250.0,-48.0,,,,
20.0,55.0,1.0,94720.0,Nicole,Bryan
2781.0,39.0,3.0,90630.0,Patrick,Murray
1791.0,-27.0,-1.0,92124.0,Glenn,Brooks
2570.0,35.0,1.0,90024.0,Stephen,Lutz
3975.0,,-2.0,94305.0,Louise,Mclemore
4127.0,-41.0,-2.0,90095.0,Lacey,West
425.0,-45.0,-2.0,92029.0,Karen,Nelson
687.0,24.0,4.0,92612.0,Marian,Douglas
1854.0,51.0,4.0,90401.0,Lillian,Hall
4203.0,35.0,3.0,95064.0,Barbara,Roof
1696.0,30.0,1.0,91911.0,Nada,Schaffer
46.0,57.0,4.0,94720.0,Renee,Hooker
4171.0,-23.0,,93561.0,Teresa,
1783.0,37.0,2.0,95825.0,Bernice,Levy
4160.0,45.0,4.0,94305.0,Hannah,Mcclung
919.0,41.0,3.0,92325.0,Amelia,Chambers
1138.0,51.0,4.0,90230.0,Marcus,Hampton
169.0,50.0,4.0,91320.0,Florence,Lucas
3856.0,42.0,1.0,95630.0,Ward,Darley
4807.0,62.0,3.0,93117.0,Lorene,Williams
4579.0,-34.0,-1.0,94143.0,,Miller
3594.0,60.0,2.0,90018.0,Alice,Marshall
,-35.0,,90064.0,Linda,Herring
,-47.0,-1.0,,Myra,Norton
3111.0,44.0,4.0,95020.0,Danny,Popovich
4752.0,41.0,1.0,92697.0,Breann,Mcfadden
383.0,-33.0,,94904.0,Sheila,Berman
2398.0,47.0,1.0,90266.0,Andrew,Richards
4795.0,56.0,4.0,94110.0,Ilene,Porter
371.0,36.0,4.0,92101.0,Nancy,Duran
4677.0,39.0,3.0,91950.0,Chad,Chisolm
616.0,,,,Warren,Quinonez
4290.0,54.0,1.0,90254.0,Jerry,Hernanez
1117.0,-18.0,-3.0,,,Johnson
2449.0,51.0,2.0,92103.0,Lisa,Maheu
871.0,43.0,3.0,92106.0,Lupe,Baker
3745.0,54.0,3.0,90025.0,Fannie,Davis
3671.0,38.0,4.0,94402.0,Joanna,Oneill
3520.0,31.0,4.0,94720.0,Anna,Price
4115.0,52.0,4.0,92126.0,Cynthia,Updike
3766.0,26.0,3.0,94706.0,Caroyln,Mcintire
26.0,43.0,3.0,94305.0,Ruby,Reeder
3490.0,-48.0,-3.0,,Pauline,Rose
1908.0,42.0,1.0,93711.0,Lucy,Hawley
3035.0,46.0,1.0,90024.0,Thomas,Stamp
414.0,32.0,3.0,92407.0,Reba,Priddy
2778.0,59.0,2.0,94122.0,Michelle,Bevens
,,-2.0,95630.0,Howard,Daffin
2054.0,-16.0,-2.0,,Louis,Henslee
1794.0,-5.0,-2.0,94596.0,Burl,Russell
1700.0,-38.0,-3.0,94720.0,Lilian,Ross
3819.0,-33.0,-2.0,94305.0,Katie,Doney
3461.0,63.0,4.0,92691.0,Nell,Cardona
3662.0,29.0,1.0,94553.0,John,Vazquez
3318.0,65.0,3.0,90035.0,Lauren,Hardy
2860.0,35.0,1.0,94596.0,Linda,Viars
227.0,-28.0,-4.0,94085.0,Shirley,Prentice
3428.0,39.0,2.0,94080.0,Melvin,Rowe
,-19.0,-4.0,94122.0,Dora,
1966.0,-20.0,-3.0,,Carrie,
2968.0,38.0,2.0,94109.0,Jennifer,Lee
2567.0,,-4.0,94305.0,Renee,
2741.0,54.0,2.0,92182.0,Marjorie,Singh
463.0,,,,Ethel,
2414.0,60.0,2.0,91007.0,Bennie,Phelps
547.0,-25.0,,94025.0,Sylvia,Miles
4890.0,58.0,3.0,90073.0,Janice,Beck
3597.0,,-3.0,94720.0,Robert,Pearson
3767.0,59.0,4.0,90245.0,Eleanor,Meeker
